Year,Region,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Economic_Impact_Million_USD,Decade,Total_Chemical_Use_KG_per_HA,Yield_per_Chemical_Input,Has_Adaptation,High_Extreme_Weather_Risk,Country_Australia,Country_Brazil,Country_Canada,Country_China,Country_France,Country_India,Country_Nigeria,Country_Russia,Country_USA,Crop_Type_Coffee,Crop_Type_Corn,Crop_Type_Cotton,Crop_Type_Fruits,Crop_Type_Rice,Crop_Type_Soybeans,Crop_Type_Sugarcane,Crop_Type_Vegetables,Crop_Type_Wheat,Adaptation_Strategies_Drought-resistant Crops,Adaptation_Strategies_No Adaptation,Adaptation_Strategies_Organic Farming,Adaptation_Strategies_Water Management,Temperature_Category_Medium,Temperature_Category_High
2001,32,-1.194038356276448,-1.4467549585641064,-0.003097918305040118,1.737,8,-1.5664880029054677,-1.0266039323102678,-1.2258519312865443,0.9085832053188155,808.13,2000,-1.5666826603789306,0.49489783503650386,1,1,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2024,8,-1.047523081243419,1.6173218276093062,1.696752023576481,1.737,8,-1.7007858938173352,0.5592913773661927,-0.9308285748957648,-0.5388138990391328,616.22,2020,-0.5826060116948746,-0.1979387554164206,1,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2001,4,0.5118180601795306,-0.3850097608528901,1.222889745257454,1.719,5,1.1225482770146742,0.16937368808542658,0.5418499975011845,0.14254717369317538,796.96,2000,0.5635538497136138,-0.4172240666874614,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False
2001,18,1.099623389776325,-0.5680958366223935,-0.15561870076153284,3.89,5,1.4935029097912937,-0.7298524165744636,1.3098860079399908,1.3116558166590038,790.32,2000,0.8457914131835719,-0.06824331265574217,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
1998,28,-1.1382230134067228,0.0196479832179336,-0.4001176650047653,1.08,9,1.5585354128403068,1.3384366361236877,1.3273017904896236,-0.7571861614482521,401.72,1990,1.7992036702711138,-0.6008106386858602,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2019,6,0.16994908510246343,-0.7907482817314182,-0.5258599894727134,2.18,5,-0.10768197297168712,0.07620751454046472,0.751884335049756,1.6052947091955287,353.16,2010,0.7099919646847231,-0.3491251456012341,1,0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False
1997,11,0.7167650222793032,0.25435046859676563,1.449924497769027,1.611,2,-1.3479172234271277,-1.6835979857532577,-0.740299913802782,0.702590322864862,480.61,1990,-1.4283799962395496,0.23123649296590953,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
2021,7,0.9060139191969653,-1.0254880352760332,-0.8704871009774603,3.27,4,0.4341272831999728,-0.7947236781539186,-0.3299840769334333,-0.086223767878283,1367.97,2020,-0.6567637750456288,0.33070227408804825,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
2012,20,1.4685279215559153,-0.47027932416418555,-1.0649219915899357,2.99,1,-0.3608854463814546,-1.025913812506231,-0.6072433351235874,-1.1186640561390842,761.89,2010,-1.010655886225809,0.4996405198994769,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True
2018,10,0.5222834369676042,-1.4116483463966063,1.2217254644753435,0.765,1,-1.1355033673143746,1.340506995535798,0.7992552635847573,0.9561200243466507,167.21,2010,1.3257830122555412,-0.6298120912611925,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2006,25,-1.64056109923425,-0.25925454677942816,-1.135943119298684,2.67,10,-1.3883220330137926,-1.4199722206112178,-1.3219870509605174,-1.0290373452636863,1100.44,2000,-1.8313977143651663,2.1448436201885115,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1997,3,1.6673700805293117,-1.3584915192682505,-0.2487611633303834,2.4,3,0.5822782516844108,-0.3047386172878234,-0.7915023144987023,0.7709245002173752,820.55,1990,-0.8491984774115092,0.14600337861429408,1,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
1993,13,0.3356508842469602,-0.1314371608659788,-0.11952599651610321,4.29,3,-1.6453735835270518,-0.9665635093590703,-0.5995803908017491,-0.4942481312005371,1201.8,1990,-0.9768624750786301,0.9969040988886456,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
2003,11,-0.04720748325006163,0.8206650931119202,-0.44203177316074815,2.5,9,0.08164342052011431,-0.3778913165157192,-0.13388236542456794,0.6149443127822899,1126.27,2000,-0.2916071934830553,-0.06910031896176154,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1999,10,-0.2687246252642837,-1.5940139042943067,0.5708925072755007,3.681,9,-0.3123996748774564,0.5517000595217885,-1.4379761627410719,-1.4152739998648491,894.31,1990,-1.0416331797773897,0.8238678840754187,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1990,3,-0.0009854024360702904,-0.17752545921750923,-1.1452573655555691,3.12,5,0.2601941981221386,-1.5504048635741638,-0.7807045293179301,0.5713688953401076,1524.34,1990,-1.4042865456994313,1.09774822812883,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2018,8,0.48739884767402564,1.2762808425299075,-1.0754005186289313,3.64,10,-0.09767697250260825,0.22044255358414627,0.3959057397352618,1.1507238772418524,521.59,2010,0.45560267521568115,-0.02345486360162319,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
2017,10,0.585075697696045,1.0791198228163923,-0.4117604728258715,1.37,10,1.1079255840214053,-0.35166676396232266,-0.9834242381956558,0.6748605117652913,571.98,2010,-1.042884787597656,-0.16091104121798,1,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1997,11,0.19262406814328914,0.028145125016436703,1.665316442459494,2.754,5,-0.9777322060712066,1.6296671934271978,-1.6288531394850472,-1.7193115715637135,1323.81,1990,-0.7243505973399866,0.19867691502046284,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
2015,23,0.3452441463026942,-0.652880913778511,0.9469551998972345,3.987,4,-0.28623275057371145,0.31912968556140203,-0.8782329115958737,0.8887761973905505,1805.57,2010,-0.6442476968429697,0.5570387748800074,1,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
2000,7,1.2941049750880238,0.03767335273493381,0.0679232094037083,3.096,2,1.5200546418053877,-0.776780563248963,-0.2484782146011517,0.4287584382566014,345.85,2000,-0.5754092667283456,0.22657092542608215,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
2016,32,-0.10825551451382358,-0.46109893265966223,1.6222380535214005,4.032000000000001,9,-0.9977422070093644,0.8864081644796137,1.7107973222325379,-0.9200988016582299,1745.39,2010,1.93875794223076,-0.22266634992060613,0,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
1996,12,0.5536795673318246,-1.1735917260973125,1.536081275645214,1.584,10,-0.5425146856662724,-0.45932545339205616,1.2538071881301731,-1.4365665333877338,384.91,1990,0.918071764803927,-0.4758918204034044,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
